VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FABAR     OABAR     FOABAR   FFABAR   OOABAR   MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539  0.49514   0.39064  24.57148 24.76219 28.29594 1.50885
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SAL1L2     1830  0.26446   0.52021   6.93958  8.20821  7.54028 0.96818
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SAL1L2      750  0.86756   1.28098  14.11404 14.03411 15.59876 0.87882
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SAL1L2     1512  0.51036   0.072241 26.41115 30.75909 31.2743  1.81406
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.4759    0.38685  19.8222  20.68411 22.97188 1.32196
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  1.12819   1.35634  19.92051 21.13074 22.11592 1.29693
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SAL1L2     6480  0.86316   0.78784   2.21607  2.53369  2.40773 0.48665
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040 -0.043253 -0.21757  25.95431 25.46469 29.03405 1.23968
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  2.50037   2.59632  35.68616 35.7483  42.32604 1.93505
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 840000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539 -0.22701   0.01452  13.26041 13.88346 14.55638 1.01201
