VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 280.07033 280.19333 78619.32236 78585.94984 78655.43208 1.18651
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 283.69457 283.93063 80609.13179 80543.96477 80675.29809 0.68733
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 280.0875  280.57015 78622.30464 78489.41712 78756.02955 0.70349
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 277.93691 277.65236 77255.07301 77336.95139 77177.14512 1.30688
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 276.95411 276.99219 76856.77932 76846.86261 76869.12787 1.05043
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 275.92269 276.21395 76344.53449 76266.27933 76424.71592 0.96764
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 291.91917 291.86673 85209.4494  85225.1125  85194.2082  0.44141
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 261.78236 261.67426 68536.53767 68564.23747 68511.36981 1.16385
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 259.29121 259.66784 67388.19702 67293.35465 67486.87299 1.44964
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 253.40946 253.48076 64325.93786 64304.0817  64349.6327  0.91253
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 260.12489 260.25476 67759.61865 67726.95418 67792.9486  0.55661
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 253.54509 253.49785 64293.76129 64305.83709 64282.1902  0.55901
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 255.11927 255.26266 65176.39817 65141.50807 65213.81662 0.96057
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 253.09882 253.15946 64168.7871  64154.01322 64185.1635  0.81277
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 253.90378 254.11825 64622.5246  64568.69456 64677.51906 0.76892
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 268.29917 268.20349 71960.31368 71986.16392 71934.72836 0.40351
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 239.93403 240.07691 57625.2709  57592.43191 57659.73004 0.88149
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P500     t       K         P500    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 239.96951 240.26677 57695.31421 57625.06202 57767.90181 1.10923
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 220.73739 221.23774 48865.12125 48755.51871 48976.63838 1.05344
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 226.69466 226.84589 51457.6799  51422.91006 51493.64247 0.7512
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 219.28485 219.65897 48179.15507 48097.04103 48262.13439 0.66182
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 222.03015 222.21339 49355.10914 49313.78312 49398.33162 0.95066
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 222.3793  222.74136 49557.79028 49477.47317 49639.99435 0.96941
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 222.52317 222.76933 49593.74643 49539.07127 49650.38923 0.99892
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 232.26145 232.52359 54007.69651 53946.93385 54068.95709 0.5407
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 220.8707  221.38716 48914.65621 48801.09541 49031.14755 1.22831
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P250     t       K         P250    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 218.12849 218.53408 47682.4271  47594.30692 47774.50552 1.53326
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 213.73836 213.52943 45697.93514 45739.04859 45657.7603  0.76881
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 204.93164 204.78617 42079.39359 42109.67631 42049.88293 0.69255
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 214.29232 213.93734 45864.59027 45940.04667 45789.46931 0.45124
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 211.55231 211.46456 44767.26149 44785.48852 44749.99525 0.71685
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 213.38562 213.21039 45570.18442 45606.22732 45534.86507 0.63204
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 211.1838  211.06246 44624.01122 44649.09656 44599.45851 0.55954
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 193.92598 193.55644 37541.05994 37612.58429 37470.89856 0.91797
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 223.85415 223.80249 50105.83191 50117.20669 50094.72443 0.41084
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 600000    20260418_120000 20260418_120000 000000   20260418_120000 20260418_120000 t        K          P100     t       K         P100    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 216.77655 216.78489 47002.3629  47000.87657 47004.13081 0.41599
