VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 278.63471 278.39072 77683.62152 77772.32185 77619.79808 3.37899
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 283.56866 282.85997 80272.07203 80473.68732 80076.26394 1.72257
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 280.67539 280.35613 78735.81937 78824.73591 78654.20095 2.06982
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 278.63132 278.43948 77679.76774 77745.31563 77625.23478 2.37763
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 276.91121 276.90171 76804.8522  76815.11145 76808.92365 2.6805
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 276.17936 276.02605 76358.50407 76406.65479 76321.80972 2.46992
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 291.98562 291.75657 85195.65583 85263.97936 85128.56095 0.75274
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 262.55089 262.63451 68986.58371 68966.08059 69019.80868 2.74871
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 259.65889 259.34559 67392.01536 67475.73034 67322.4248  2.91735
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 252.50316 253.95594 64207.42433 63862.48434 64575.61705 3.47817
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 259.68393 259.73508 67510.96589 67504.72614 67528.20159 1.98017
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 253.54961 252.87642 64138.72126 64309.71584 63973.51855 1.67688
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 254.76524 255.41414 65128.40102 64982.8551  65287.15732 2.54069
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 253.11566 253.45919 64240.76125 64167.45846 64328.06078 2.63166
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 253.78065 254.02151 64561.62505 64510.56348 64625.10862 2.50152
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 268.32995 268.25066 71980.64979 72002.34617 71959.97227 0.75387
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 240.63306 241.84062 58216.16953 57932.84498 58517.30704 3.1968
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 239.27719 239.84622 57417.06528 57289.77428 57559.10331 2.89424
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P250     t       K         P250    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 221.32353 221.56553 49057.92286 49009.2628  49119.30626 2.5805
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P250     t       K         P250    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 225.89593 225.83719 51049.0932  51063.82371 51040.921   1.93463
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P250     t       K         P250    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 218.4899  219.32687 47927.79494 47747.80804 48118.58179 2.27393
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P250     t       K         P250    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 222.60148 223.24051 49705.98792 49566.60792 49854.65385 2.24155
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P250     t       K         P250    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 222.44881 223.06451 49640.62542 49510.73836 49785.04406 2.82268
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P250     t       K         P250    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 222.18217 222.46116 49448.44276 49395.97804 49513.89688 2.63501
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 1920000   20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P250     t       K         P250    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 232.05731 232.5069  53956.03919 53852.32873 54061.13826 0.86226
