VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FABAR     OABAR    FOABAR   FFABAR   OOABAR   MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539  0.048785  0.23286 15.09756 15.26602 15.47689 0.57282
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SAL1L2     1830 -0.30163  -0.22526 11.08794 11.59854 10.89222 0.40361
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SAL1L2      750  0.66786   0.83718 16.99674 17.60878 16.80171 0.4896
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SAL1L2     1512 -0.63424  -0.47225 36.52988 36.79364 36.80254 0.53312
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  0.19145   0.27296 21.75053 22.15911 21.85922 0.531
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SAL1L2    11280  1.17749   1.29984 23.655   24.00221 23.90581 0.53284
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SAL1L2     6480  0.67195   0.66038  2.34901  2.47764  2.42019 0.3241
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  0.5321    0.48708 29.8519  30.42412 29.76392 0.52791
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SAL1L2     5040  2.08305   2.38738 39.45758 40.24924 39.91952 0.76151
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 240000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SAL1L2     1539  0.80248   0.80471 12.44008 12.77152 12.55157 0.48683
