VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 279.97316 280.11352 78559.0614  78519.74198 78598.90464 0.54692
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 283.35305 283.41677 80374.51785 80357.13163 80392.04513 0.28581
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 280.18604 280.27304 78578.14444 78554.40999 78602.06736 0.32569
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 277.11548 277.16809 76891.94566 76877.80146 76906.3023  0.33419
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 276.91392 276.95548 76832.54695 76821.01547 76844.38339 0.39776
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 276.04433 276.15789 76364.94919 76333.7321  76396.43052 0.35896
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 291.79026 291.8423  85164.99845 85150.02347 85180.11503 0.27089
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 262.37482 262.34874 68874.38502 68881.18627 68867.85106 0.39662
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 259.20253 259.33661 67281.88993 67247.30462 67316.97573 0.4856
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 254.27015 254.37203 64767.54921 64741.8703  64793.44888 0.35207
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260419_120000 20260419_120000 000000   20260419_120000 20260419_120000 t        K          P500     t       K         P500    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 259.40174 259.48913 67384.02998 67360.99897 67407.16664 0.24458
