VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 278.25208 278.39072 77579.67193 77541.20036 77619.79808 0.94999
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 282.86219 282.85997 80078.27673 80081.49071 80076.26394 0.74075
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 279.9681  280.35613 78547.24678 78441.38803 78654.20095 0.80197
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 278.31255 278.43948 77588.02307 77553.32927 77625.23478 1.12491
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 276.83625 276.90171 76788.79956 76770.84285 76808.92365 1.03177
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 275.91194 276.02605 76289.58259 76259.53991 76321.80972 1.00549
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 291.85162 291.75657 85156.44002 85184.81848 85128.56095 0.50026
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 262.84175 262.63451 69070.62627 69124.82558 69019.80868 1.19617
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 259.28012 259.34559 67301.05993 67284.19606 67322.4248  1.5365
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 720000    20260420_000000 20260420_000000 000000   20260420_000000 20260420_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 253.88577 253.95594 64557.72654 64541.55398 64575.61705 0.99175
