VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 278.71308 279.5091  78010.28161 77814.49672 78236.09927 3.82854
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 283.04614 282.76465 80084.189   80170.53648 80006.9549  1.9341
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 280.147   281.99897 79074.85256 78579.62633 79590.68619 3.51558
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 278.10488 279.02707 77668.86539 77423.31103 77947.6245  4.18565
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 276.97078 277.26637 76909.87352 76837.09648 77006.05625 3.50859
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 275.576   275.78096 76127.06959 76081.23066 76187.71811 2.81869
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 291.78716 291.82417 85157.24668 85147.84905 85167.8465  0.72092
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 263.28055 263.32625 69355.38556 69343.63327 69399.00373 4.56369
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 258.52351 258.48896 66876.34113 66897.01212 66878.74511 3.82232
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 2160000   20260422_000000 20260422_000000 000000   20260422_000000 20260422_000000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 252.98364 254.4321  64451.99847 64107.52502 64817.03017 3.44437
