VERSION MODEL    DESC                         FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE   VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBAR      OBAR      FOBAR       FFBAR       OOBAR       MAE
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 280.72531 280.65061 78913.09277 78935.13775 78891.55803 0.53883
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS AUNZ    NEAREST     1           NA          NA         NA         NA    SL1L2      1830 283.18701 283.27084 80281.51425 80258.22591 80304.95378 0.29025
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS EUNA    NEAREST     1           NA          NA         NA         NA    SL1L2       750 280.67344 280.63343 78830.61793 78842.45141 78818.93115 0.29842
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NAM     NEAREST     1           NA          NA         NA         NA    SL1L2      1512 277.24272 277.29684 76968.80407 76953.49014 76984.38222 0.37225
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 277.17943 277.17006 76962.85031 76965.40415 76960.58926 0.39048
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SH      NEAREST     1           NA          NA         NA         NA    SL1L2     11280 275.90836 276.00461 76285.34926 76258.76731 76312.17951 0.34929
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS TROPICS NEAREST     1           NA          NA         NA         NA    SL1L2      6480 291.77322 291.84267 85160.17753 85139.99958 85180.48389 0.24519
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS NPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 262.89685 262.85458 69148.78308 69159.08475 69138.84236 0.45953
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P850     t       K         P850    ANALYSIS SPOL    NEAREST     1           NA          NA         NA         NA    SL1L2      5040 259.09805 259.18321 67214.81707 67192.50007 67237.57135 0.45482
V12.0.2 AGlobal4 _vs_ANALYSIS_T_AllLevels_00Z 120000    20260420_120000 20260420_120000 000000   20260420_120000 20260420_120000 t        K          P500     t       K         P500    ANALYSIS ASIA    NEAREST     1           NA          NA         NA         NA    SL1L2      1539 254.23856 254.18924 64713.84947 64725.99354 64701.88178 0.33064
